ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
raivavae,Ra'ivavae,,,,aust1304,
mangareva,Mangareva,,,,mang1401,
melefila,Fila,,,,mele1250,
emae,Emae (Makatea),,,,emae1237,
rapanui,Rapanui (Easter Island),,,,rapa1244,
northmarquesan,Marquesan,,,,nort2845,
eastfutunan,"Futuna, East",,,,east2447,
tongan,Tongan,,,,tong1325,
rakahangamanihiki,Manihiki,,,,raka1237,
nukuria,Nukeria,,,,nuku1259,
rurutuan,Rurutuan,,,,aust1304,
samoan,Samoan,,,,samo1305,
pukapuka,Pukapuka,,,,puka1242,
tuamotuan,Tuamotu,,,,tuam1242,
wallisian,"Uvea, East",,,,wall1257,
niuean,Niue,,,,niue1239,
kapingamarangi,Kapingamarangi,,,,kapi1249,
luangiua,Luangiua,,,,onto1237,
maori,Maori,,,,maor1246,
hawaiian,Hawaiian,,,,hawa1245,
tuvalu,Nanumea,,,,tuva1244,
vaeakautaumako,Vaeakau-Taumako,,,,pile1238,
anuta,Anuta,,,,anut1237,
tikopia,Tikopia,,,,tiko1237,
rarotongan,Rarotongan,,,,raro1241,
sikaiana,Sikaiana,,,,sika1261,
penryhn,Penrhyn,,,,penr1237,
tahitian,Tahitian (Modern),,,,tahi1242,
futunaaniwa,Futuna-Aniwa,,,,futu1245,
rennellbellona,Rennellese,,,,renn1242,
